id_pedido;id_categoria;id_produto;id_forma_de_pagamento;quantidade_de_parcelas;quantidade_de_produtos;mes_criacao;id_cliente
67;1;6;2;0;2;01/01/2019;469
68;1;5;3;3;1;01/01/2019;567
69;2;11;2;0;3;01/01/2019;438
70;3;17;3;8;3;01/01/2019;358
71;2;11;2;0;1;01/01/2019;535
72;2;8;1;0;4;01/01/2019;552
73;3;13;3;2;2;01/01/2019;522
74;1;7;4;0;5;01/01/2019;261
75;1;3;2;0;3;01/01/2019;390
76;1;5;3;10;2;01/01/2019;475
77;1;3;2;0;1;01/01/2019;245
78;1;5;3;6;1;01/01/2019;175
79;1;1;3;7;2;01/01/2019;42
80;2;11;3;4;3;01/01/2019;556
81;2;10;3;9;1;01/01/2019;26
82;2;8;2;0;2;01/01/2019;76
83;1;7;3;1;1;01/01/2019;226
84;2;11;1;0;4;01/01/2019;501
85;3;15;4;0;3;01/01/2019;47
86;2;9;1;0;3;01/01/2019;113
87;1;6;4;0;2;01/01/2019;387
88;1;5;2;0;3;01/01/2019;544
89;1;1;1;0;4;01/01/2019;272
90;3;17;3;7;3;01/01/2019;249
91;1;6;4;0;2;01/01/2019;566
92;1;1;3;6;2;01/01/2019;82
93;3;17;4;0;1;01/01/2019;164
94;1;2;3;6;3;01/01/2019;287
95;1;6;4;0;2;01/01/2019;90
96;1;6;3;5;3;01/01/2019;69
97;1;6;1;0;2;01/01/2019;73
98;1;6;4;0;5;01/01/2019;123
99;1;2;2;0;2;01/01/2019;588
100;1;2;2;0;1;01/01/2019;116
101;2;11;2;0;2;01/01/2019;19
102;2;10;2;0;1;01/01/2019;263
103;1;5;3;3;1;01/01/2019;590
104;1;1;1;0;3;01/01/2019;474
105;1;2;3;4;4;01/01/2019;497
106;3;15;2;0;5;01/01/2019;138
107;1;5;2;0;2;01/01/2019;151
108;1;4;1;0;3;01/01/2019;587
109;1;6;2;0;1;01/01/2019;547
110;1;5;3;4;4;01/01/2019;470
111;1;1;2;0;5;01/01/2019;37
112;1;6;3;1;3;01/01/2019;448
113;2;10;3;4;1;01/01/2019;159
114;3;13;3;2;3;01/01/2019;284
115;3;13;3;10;1;01/01/2019;281
116;3;15;3;7;2;01/01/2019;155
117;1;2;2;0;2;01/01/2019;92
118;2;9;3;2;1;01/01/2019;104
119;1;4;3;2;2;01/01/2019;26
120;2;11;2;0;1;01/01/2019;390
121;1;2;3;10;1;01/01/2019;178
122;2;10;4;0;3;01/01/2019;210
123;1;2;3;8;1;01/01/2019;290
124;1;4;2;0;4;01/01/2019;141
125;1;1;1;0;3;01/01/2019;592
126;1;5;4;0;4;01/01/2019;488
127;1;5;3;9;1;01/01/2019;306
128;2;10;3;8;3;01/01/2019;291
129;3;16;3;6;4;01/01/2019;228
130;1;6;2;0;1;01/01/2019;63
131;1;6;2;0;2;01/01/2019;250
132;2;8;2;0;1;01/01/2019;332
133;2;8;1;0;3;01/01/2019;199
134;3;17;4;0;1;01/01/2019;353
135;3;13;4;0;3;01/01/2019;598
136;1;5;2;0;1;01/01/2019;299
137;3;12;2;0;2;01/01/2019;408
138;1;2;2;0;1;01/01/2019;166
139;3;16;1;0;3;01/01/2019;453
140;2;9;1;0;5;01/01/2019;402
141;1;3;1;0;3;01/01/2019;119
142;1;7;3;3;3;01/01/2019;127
143;3;15;2;0;1;01/01/2019;76
144;1;4;3;3;3;01/01/2019;72
145;3;15;1;0;3;01/01/2019;250
146;1;2;2;0;2;01/01/2019;410
147;1;7;4;0;2;01/01/2019;168
148;1;2;3;1;1;01/01/2019;594
149;1;6;3;7;3;01/01/2019;508
150;2;11;4;0;2;01/01/2019;297
151;2;9;1;0;1;01/01/2019;119
152;1;3;3;4;2;01/01/2019;79
153;2;10;1;0;1;01/01/2019;487
154;1;5;4;0;3;01/01/2019;566
155;1;6;1;0;1;01/01/2019;373
156;1;5;4;0;2;01/01/2019;133
157;1;1;3;2;1;01/01/2019;561
158;3;15;3;9;2;01/01/2019;462
159;2;8;3;2;2;01/01/2019;395
160;1;2;1;0;4;01/01/2019;147
161;2;9;2;0;2;01/01/2019;332
162;2;11;2;0;1;01/01/2019;484
163;3;15;4;0;3;01/01/2019;439
164;1;4;1;0;3;01/01/2019;471
165;3;13;4;0;1;01/01/2019;349
166;2;8;3;10;4;01/01/2019;92
167;2;11;4;0;1;01/01/2019;326
168;3;14;3;7;4;01/01/2019;162
169;2;10;4;0;1;01/01/2019;43
170;1;5;3;4;2;01/01/2019;401
171;2;11;1;0;1;01/01/2019;527
172;1;3;2;0;2;01/01/2019;468
173;3;12;3;8;2;01/01/2019;43
174;1;4;1;0;4;01/01/2019;375
175;3;12;3;9;2;01/01/2019;294
176;1;5;4;0;5;01/01/2019;250
177;1;1;2;0;1;01/01/2019;494
178;2;11;3;2;4;01/01/2019;300
179;2;11;2;0;2;01/01/2019;151
180;2;11;1;0;3;01/01/2019;420
181;1;7;3;10;2;01/01/2019;125
182;1;3;1;0;1;01/01/2019;518
183;3;14;3;7;1;01/01/2019;165
184;1;5;3;1;2;01/01/2019;272
185;1;2;4;0;2;01/01/2019;232
186;3;16;1;0;3;01/01/2019;139
187;1;3;3;5;5;01/01/2019;305
188;2;8;2;0;2;01/01/2019;23
189;3;16;2;0;4;01/01/2019;424
190;1;5;3;9;4;01/01/2019;383
191;1;3;2;0;2;01/01/2019;504
192;1;1;1;0;1;01/01/2019;205
193;2;11;2;0;1;01/01/2019;269
194;1;2;2;0;1;01/01/2019;539
195;1;1;3;3;2;01/01/2019;121
196;1;6;2;0;1;01/01/2019;175
197;1;4;3;7;4;01/01/2019;124
198;1;5;3;7;1;01/01/2019;517
199;1;2;3;6;1;01/01/2019;51
200;2;9;2;0;3;01/01/2019;362
201;2;8;3;8;2;01/01/2019;444
202;2;8;3;10;1;01/01/2019;304
203;3;16;3;6;4;01/01/2019;176
204;1;2;2;0;2;01/01/2019;371
205;3;14;3;8;2;01/01/2019;594
206;2;10;3;1;4;01/01/2019;10
207;3;14;1;0;2;01/01/2019;3
208;3;15;2;0;3;01/01/2019;537
209;1;6;3;1;3;01/01/2019;567
210;1;2;3;9;2;01/01/2019;327
211;1;4;3;10;3;01/01/2019;326
212;3;17;3;2;2;01/01/2019;349
213;2;11;4;0;2;01/01/2019;15
214;1;5;2;0;1;01/01/2019;132
215;2;9;3;4;2;01/01/2019;120
216;2;11;3;8;5;01/01/2019;281
217;1;7;2;0;1;01/01/2019;96
218;1;5;4;0;5;01/01/2019;276
219;2;11;3;2;3;01/01/2019;187
220;1;6;3;10;2;01/01/2019;574
221;1;4;4;0;5;01/01/2019;150
222;1;5;3;4;3;01/01/2019;487
223;3;14;1;0;4;01/01/2019;354
224;1;3;2;0;4;01/01/2019;62
225;2;9;3;10;1;01/01/2019;552
226;1;3;4;0;5;01/01/2019;182
227;1;7;4;0;4;01/01/2019;255
228;3;14;1;0;1;01/01/2019;543
229;3;16;2;0;1;01/01/2019;494
230;1;4;2;0;4;01/01/2019;229
231;2;10;3;7;2;01/01/2019;529
232;1;2;2;0;4;01/01/2019;227
233;1;2;3;10;2;01/01/2019;351
234;3;14;4;0;3;01/01/2019;306
235;2;8;1;0;3;01/01/2019;501
236;1;7;2;0;2;01/01/2019;600
237;1;4;2;0;3;01/01/2019;505
238;2;8;3;9;2;01/01/2019;389
239;2;8;4;0;3;01/01/2019;469
240;1;2;3;7;4;01/01/2019;491
241;3;15;3;1;1;01/01/2019;112
242;1;6;4;0;1;01/01/2019;1
243;1;1;2;0;2;01/01/2019;503
244;1;1;3;8;4;01/01/2019;140
245;1;3;3;10;1;01/01/2019;306
246;1;4;3;4;4;01/01/2019;565
247;1;3;2;0;2;01/01/2019;85
248;3;14;3;2;2;01/01/2019;143
249;1;3;4;0;1;01/01/2019;518
250;3;17;3;10;1;01/01/2019;486
251;2;9;2;0;2;01/01/2019;455
252;1;1;1;0;2;01/01/2019;449
253;3;13;3;5;4;01/01/2019;239
254;1;5;3;1;4;01/01/2019;275
255;3;17;2;0;1;01/01/2019;350
256;3;17;3;7;4;01/01/2019;457
257;1;4;2;0;1;01/01/2019;257
258;1;1;3;10;2;01/01/2019;22
259;1;3;1;0;1;01/01/2019;205
260;2;11;3;3;4;01/01/2019;363
261;1;2;4;0;5;01/01/2019;310
262;1;2;1;0;1;01/01/2019;294
263;1;2;2;0;4;01/01/2019;466
264;1;5;2;0;3;01/01/2019;89
265;2;11;2;0;3;01/01/2019;175
266;1;7;1;0;4;01/01/2019;255
267;2;8;1;0;1;01/01/2019;457
268;1;1;3;8;4;01/01/2019;591
269;1;2;2;0;1;01/01/2019;482
270;1;6;1;0;1;01/01/2019;452
271;2;9;3;6;2;01/01/2019;514
272;2;11;2;0;3;01/01/2019;475
273;1;4;2;0;4;01/01/2019;136
274;1;7;3;9;2;01/01/2019;452
275;1;6;2;0;2;01/01/2019;553
276;1;2;2;0;4;01/01/2019;586
277;1;5;1;0;5;01/01/2019;256
278;1;4;4;0;4;01/01/2019;428
279;1;7;3;3;2;01/01/2019;135
280;3;13;3;10;1;01/01/2019;447
281;2;10;2;0;3;01/01/2019;529
282;1;4;2;0;2;01/01/2019;322
283;3;14;3;3;1;01/01/2019;269
284;1;2;1;0;4;01/01/2019;398
285;1;1;4;0;2;01/01/2019;386
286;1;7;3;2;1;01/01/2019;82
287;1;3;3;8;1;01/01/2019;191
288;1;4;2;0;1;01/01/2019;158
289;1;7;3;4;1;01/01/2019;600
290;1;4;3;5;1;01/01/2019;137
291;2;8;3;4;3;01/01/2019;600
292;1;6;3;2;2;01/01/2019;472
293;1;5;2;0;2;01/01/2019;428
294;1;5;4;0;2;01/01/2019;429
295;1;3;2;0;4;01/01/2019;522
296;3;15;1;0;4;01/01/2019;563
297;1;4;3;4;2;01/01/2019;476
298;1;5;1;0;2;01/01/2019;216
299;1;6;3;6;2;01/01/2019;307
300;1;2;1;0;4;01/01/2019;593
301;1;4;2;0;5;01/01/2019;414
302;1;5;3;5;1;01/01/2019;326
303;1;4;3;10;5;01/01/2019;182
304;1;2;3;6;5;01/01/2019;20
305;3;13;3;9;3;01/01/2019;49
306;1;3;2;0;3;01/01/2019;485
307;2;11;2;0;2;01/01/2019;252
308;3;12;3;7;2;01/01/2019;325
309;3;15;3;2;3;01/01/2019;566
310;3;16;2;0;1;01/01/2019;342
311;1;1;2;0;3;01/01/2019;494
312;1;6;3;8;2;01/01/2019;588
313;2;11;3;5;4;01/01/2019;537
314;3;12;3;1;2;01/01/2019;433
315;3;15;3;3;3;01/01/2019;262
316;3;15;3;4;4;01/01/2019;572
317;3;15;3;5;1;01/01/2019;383
318;1;6;3;2;1;01/01/2019;26
319;1;7;2;0;3;01/01/2019;385
320;2;11;3;8;1;01/01/2019;356
321;1;4;2;0;3;01/01/2019;266
322;1;4;3;7;1;01/01/2019;513
323;1;3;1;0;4;01/01/2019;316
324;3;14;2;0;3;01/01/2019;76
325;3;13;1;0;2;01/01/2019;473
326;1;5;3;10;3;01/01/2019;161
327;2;8;3;5;1;01/01/2019;33
328;1;5;3;5;2;01/01/2019;438
329;1;2;2;0;1;01/01/2019;505
330;3;12;3;4;1;01/01/2019;279
331;1;3;1;0;2;01/01/2019;480
332;1;2;1;0;2;01/01/2019;220
333;1;5;4;0;2;01/01/2019;15
334;1;5;1;0;4;01/01/2019;547
335;1;3;3;3;1;01/01/2019;416
336;2;9;2;0;1;01/01/2019;50
337;3;13;4;0;2;01/01/2019;280
338;2;11;3;2;1;01/01/2019;156
339;1;5;4;0;3;01/01/2019;382
340;1;3;1;0;4;01/01/2019;247
341;1;1;2;0;5;01/01/2019;492
342;1;5;3;5;3;01/01/2019;272
343;1;3;1;0;1;01/01/2019;175
344;1;3;4;0;1;01/01/2019;10
345;2;11;4;0;2;01/01/2019;291
346;2;9;2;0;4;01/01/2019;42
347;2;8;4;0;5;01/01/2019;385
348;1;7;4;0;2;01/01/2019;45
349;3;15;1;0;2;01/01/2019;322
350;1;5;3;8;3;01/01/2019;221
351;2;9;3;2;2;01/01/2019;339
352;3;16;2;0;5;01/01/2019;403
353;2;8;3;7;2;01/01/2019;125
354;1;3;3;7;2;01/01/2019;268
355;2;9;3;5;1;01/01/2019;415
356;1;5;2;0;2;01/01/2019;226
357;3;13;3;10;3;01/01/2019;159
358;1;6;1;0;4;01/01/2019;402
359;3;15;4;0;3;01/01/2019;217
360;1;4;3;1;1;01/01/2019;477
361;3;12;2;0;2;01/01/2019;330
362;1;7;3;8;1;01/01/2019;383
363;1;5;2;0;2;01/01/2019;510
364;1;7;2;0;1;01/01/2019;288
365;1;3;1;0;4;01/01/2019;437
366;1;7;3;4;2;01/01/2019;500
367;2;9;4;0;5;01/01/2019;344
368;1;4;3;3;1;01/01/2019;148
369;3;12;3;3;3;01/01/2019;188
370;2;8;1;0;2;01/01/2019;335
371;2;9;4;0;1;01/01/2019;572
372;1;4;4;0;2;01/01/2019;16
373;3;15;2;0;1;01/01/2019;235
374;2;9;4;0;1;01/01/2019;453
375;1;3;4;0;1;01/01/2019;400
376;3;12;4;0;4;01/01/2019;519
377;1;7;3;9;2;01/01/2019;479
378;3;17;3;2;2;01/01/2019;550
379;1;1;3;10;4;01/01/2019;379
380;1;2;1;0;2;01/01/2019;433
381;2;11;2;0;3;01/01/2019;494
382;1;6;3;6;2;01/01/2019;506
383;1;2;3;10;1;01/01/2019;517
384;3;13;3;6;1;01/01/2019;458
385;1;7;4;0;2;01/01/2019;364
386;1;4;3;8;1;01/01/2019;17
387;1;1;4;0;1;01/01/2019;371
388;3;16;4;0;4;01/01/2019;2
389;1;2;2;0;4;01/01/2019;244
390;1;3;1;0;2;01/01/2019;249
0;1;4;3;1;2;01/02/2019;592
1;3;17;3;3;2;01/02/2019;536
2;1;7;3;4;2;01/02/2019;521
3;1;6;2;0;4;01/02/2019;153
4;1;1;1;0;2;01/02/2019;415
5;1;6;1;0;2;01/02/2019;254
6;1;4;2;0;4;01/02/2019;90
7;1;6;3;6;5;01/02/2019;306
8;1;7;1;0;2;01/02/2019;313
9;2;9;4;0;1;01/02/2019;91
10;1;5;2;0;2;01/02/2019;436
11;3;16;4;0;1;01/02/2019;195
12;2;9;3;9;1;01/02/2019;583
13;3;14;2;0;3;01/02/2019;555
14;2;10;2;0;1;01/02/2019;497
15;2;9;2;0;1;01/02/2019;400
16;2;9;3;2;2;01/02/2019;129
17;1;7;1;0;4;01/02/2019;100
18;1;2;2;0;1;01/02/2019;282
19;1;1;2;0;2;01/02/2019;240
20;1;6;3;5;5;01/02/2019;106
21;1;7;3;8;3;01/02/2019;454
22;1;4;3;2;1;01/02/2019;578
23;3;15;1;0;2;01/02/2019;279
24;1;7;4;0;1;01/02/2019;474
25;2;8;2;0;2;01/02/2019;177
26;1;7;1;0;4;01/02/2019;408
27;2;10;4;0;3;01/02/2019;75
28;1;6;3;3;1;01/02/2019;241
29;1;3;1;0;4;01/02/2019;561
30;1;4;3;1;3;01/02/2019;55
31;1;4;3;9;2;01/02/2019;81
32;1;7;3;9;5;01/02/2019;378
33;2;8;2;0;4;01/02/2019;121
34;1;7;1;0;1;01/02/2019;93
35;3;14;2;0;3;01/02/2019;142
36;1;2;2;0;2;01/02/2019;568
37;2;10;1;0;2;01/02/2019;112
38;1;6;2;0;3;01/02/2019;421
39;1;2;3;1;2;01/02/2019;48
40;1;3;3;4;3;01/02/2019;558
41;1;6;4;0;1;01/02/2019;378
42;2;10;4;0;1;01/02/2019;265
43;1;7;3;8;1;01/02/2019;600
44;1;5;2;0;1;01/02/2019;14
45;1;4;3;8;1;01/02/2019;559
46;1;3;2;0;1;01/02/2019;419
47;3;15;3;5;3;01/02/2019;190
48;1;4;3;3;1;01/02/2019;44
49;1;1;3;2;1;01/02/2019;501
50;2;8;3;5;1;01/02/2019;490
51;1;6;4;0;1;01/02/2019;289
52;1;2;3;6;3;01/02/2019;551
53;1;5;2;0;2;01/02/2019;338
54;1;1;4;0;3;01/02/2019;238
55;1;6;1;0;2;01/02/2019;496
56;1;3;4;0;1;01/02/2019;594
57;3;17;4;0;4;01/02/2019;471
58;1;1;3;7;1;01/02/2019;370
59;1;1;2;0;2;01/02/2019;482
60;2;11;3;3;1;01/02/2019;3
61;2;9;3;8;2;01/02/2019;561
62;3;14;1;0;3;01/02/2019;522
63;1;1;3;5;3;01/02/2019;335
64;1;2;2;0;4;01/02/2019;44
65;3;14;3;2;3;01/02/2019;500
66;1;4;2;0;3;01/02/2019;12
67;1;7;1;0;4;01/02/2019;403
68;1;4;1;0;1;01/02/2019;347
69;1;4;1;0;1;01/02/2019;441
70;2;11;2;0;1;01/02/2019;57
71;3;14;3;4;5;01/02/2019;422
72;1;2;4;0;2;01/02/2019;486
73;3;13;4;0;4;01/02/2019;369
74;2;10;2;0;3;01/02/2019;268
75;1;1;1;0;1;01/02/2019;66
76;1;2;3;8;1;01/02/2019;339
77;3;15;4;0;1;01/02/2019;281
78;3;16;2;0;2;01/02/2019;462
79;1;4;3;3;3;01/02/2019;75
80;1;2;4;0;1;01/02/2019;266
81;2;11;2;0;5;01/02/2019;122
82;2;10;4;0;4;01/02/2019;358
83;3;16;2;0;5;01/02/2019;29
84;2;8;4;0;1;01/02/2019;419
85;3;13;3;2;1;01/02/2019;263
86;1;6;4;0;3;01/02/2019;37
87;1;7;1;0;1;01/02/2019;271
88;1;5;2;0;1;01/02/2019;500
89;3;17;2;0;3;01/02/2019;429
90;3;16;3;2;1;01/02/2019;481
91;2;9;2;0;1;01/02/2019;428
92;3;14;2;0;2;01/02/2019;323
93;1;3;4;0;2;01/02/2019;357
94;2;11;2;0;1;01/02/2019;563
95;1;6;3;10;3;01/02/2019;56
96;2;8;3;10;1;01/02/2019;398
97;3;16;4;0;2;01/02/2019;393
98;1;6;1;0;2;01/02/2019;547
99;1;5;2;0;3;01/02/2019;592
100;3;12;3;9;3;01/02/2019;198
101;3;16;1;0;2;01/02/2019;178
102;1;7;1;0;4;01/02/2019;165
103;3;13;2;0;1;01/02/2019;266
104;1;7;3;8;1;01/02/2019;534
105;1;2;3;2;1;01/02/2019;98
106;1;2;3;5;1;01/02/2019;281
107;1;6;3;6;3;01/02/2019;394
108;1;6;1;0;3;01/02/2019;334
109;1;4;4;0;4;01/02/2019;514
110;2;10;2;0;2;01/02/2019;147
111;3;17;1;0;1;01/02/2019;381
112;3;13;3;8;3;01/02/2019;196
113;1;3;3;4;4;01/02/2019;242
114;1;6;3;3;1;01/02/2019;283
115;3;16;4;0;4;01/02/2019;309
116;1;3;3;9;1;01/02/2019;318
117;1;1;3;6;1;01/02/2019;192
118;1;2;2;0;5;01/02/2019;4
119;1;2;2;0;4;01/02/2019;441
120;3;15;4;0;2;01/02/2019;56
121;1;1;4;0;1;01/02/2019;385
122;1;3;2;0;5;01/02/2019;520
123;2;8;2;0;2;01/02/2019;442
124;2;10;2;0;1;01/02/2019;256
125;1;6;3;2;1;01/02/2019;346
126;2;11;2;0;3;01/02/2019;161
127;2;9;1;0;1;01/02/2019;222
128;1;6;4;0;5;01/02/2019;559
129;1;2;4;0;1;01/02/2019;271
130;1;4;2;0;2;01/02/2019;184
131;2;8;1;0;3;01/02/2019;531
132;1;7;4;0;5;01/02/2019;77
133;3;15;2;0;1;01/02/2019;330
134;3;14;3;8;2;01/02/2019;297
135;3;12;3;5;3;01/02/2019;186
136;1;7;4;0;3;01/02/2019;16
137;2;10;2;0;1;01/02/2019;302
138;1;4;3;2;1;01/02/2019;91
139;2;8;2;0;2;01/02/2019;334
140;1;4;2;0;2;01/02/2019;141
141;1;5;4;0;1;01/02/2019;110
142;1;4;3;1;3;01/02/2019;87
143;1;5;2;0;2;01/02/2019;33
144;1;4;3;6;1;01/02/2019;260
145;1;6;2;0;5;01/02/2019;209
146;2;9;4;0;4;01/02/2019;61
147;3;12;2;0;1;01/02/2019;151
148;1;7;2;0;5;01/02/2019;573
149;2;10;2;0;2;01/02/2019;212
150;2;8;3;8;3;01/02/2019;331
151;1;7;4;0;1;01/02/2019;441
152;3;14;1;0;2;01/02/2019;355
153;3;14;3;5;2;01/02/2019;353
154;1;1;2;0;3;01/02/2019;44
155;1;4;2;0;3;01/02/2019;312
156;1;6;3;2;2;01/02/2019;401
157;1;6;2;0;1;01/02/2019;343
158;1;2;1;0;4;01/02/2019;197
159;1;7;2;0;3;01/02/2019;27
160;1;4;3;2;2;01/02/2019;361
161;2;9;3;5;2;01/02/2019;98
162;3;12;1;0;2;01/02/2019;189
163;1;3;3;2;2;01/02/2019;461
164;3;16;3;6;5;01/02/2019;348
165;1;2;3;6;4;01/02/2019;588
166;2;8;2;0;3;01/02/2019;329
167;1;7;3;4;1;01/02/2019;225
168;1;6;2;0;2;01/02/2019;301
169;3;17;3;2;2;01/02/2019;41
170;1;6;2;0;3;01/02/2019;413
171;1;4;3;10;3;01/02/2019;152
172;3;14;1;0;2;01/02/2019;475
173;1;4;2;0;1;01/02/2019;461
174;1;4;4;0;3;01/02/2019;581
175;1;5;3;4;3;01/02/2019;218
176;2;10;3;9;3;01/02/2019;29
177;1;2;3;1;2;01/02/2019;59
178;2;8;3;6;3;01/02/2019;189
179;3;14;3;6;1;01/02/2019;250
180;1;4;3;8;3;01/02/2019;477
181;1;6;2;0;1;01/02/2019;419
182;1;1;1;0;3;01/02/2019;331
183;1;7;3;8;2;01/02/2019;597
184;1;6;2;0;4;01/02/2019;550
185;1;4;2;0;2;01/02/2019;591
186;1;5;4;0;2;01/02/2019;477
187;2;11;3;4;4;01/02/2019;327
188;3;12;3;2;2;01/02/2019;531
189;1;4;4;0;1;01/02/2019;552
190;1;6;3;3;2;01/02/2019;117
191;1;2;3;5;1;01/02/2019;234
192;1;2;1;0;2;01/02/2019;538
193;1;3;1;0;3;01/02/2019;86
194;2;11;1;0;3;01/02/2019;184
195;1;6;1;0;2;01/02/2019;285
196;1;7;2;0;3;01/02/2019;285
197;3;16;2;0;4;01/02/2019;326
198;1;4;3;2;4;01/02/2019;159
199;1;7;3;7;2;01/02/2019;193
200;1;6;2;0;1;01/02/2019;187
201;2;10;2;0;1;01/02/2019;360
202;3;13;3;10;1;01/02/2019;219
203;2;11;4;0;4;01/02/2019;136
204;3;16;3;6;1;01/02/2019;592
205;1;4;2;0;3;01/02/2019;318
206;2;10;1;0;2;01/02/2019;357
207;1;1;3;7;2;01/02/2019;152
208;1;5;2;0;2;01/02/2019;128
209;2;8;3;9;1;01/02/2019;201
210;1;4;4;0;1;01/02/2019;75
211;3;14;2;0;3;01/02/2019;177
212;1;2;3;10;4;01/02/2019;337
213;1;2;1;0;4;01/02/2019;12
214;1;5;2;0;4;01/02/2019;266
215;1;1;2;0;1;01/02/2019;503
216;1;7;3;7;3;01/02/2019;275
217;1;4;2;0;2;01/02/2019;512
218;1;6;3;1;1;01/02/2019;198
219;3;13;2;0;1;01/02/2019;70
220;1;4;3;7;1;01/02/2019;271
221;3;13;2;0;4;01/02/2019;10
222;2;9;4;0;3;01/02/2019;572
223;3;14;2;0;5;01/02/2019;300
224;1;2;1;0;4;01/02/2019;188
225;2;11;2;0;1;01/02/2019;267
226;3;13;3;10;4;01/02/2019;476
227;1;6;2;0;4;01/02/2019;483
228;2;10;3;5;4;01/02/2019;308
229;1;7;2;0;1;01/02/2019;251
230;1;6;3;8;2;01/02/2019;552
231;3;14;3;10;2;01/02/2019;565
232;1;1;3;3;1;01/02/2019;416
233;2;8;2;0;4;01/02/2019;495
234;3;12;2;0;4;01/02/2019;367
235;2;10;1;0;1;01/02/2019;535
236;1;4;3;9;5;01/02/2019;533
237;1;7;3;9;3;01/02/2019;80
238;1;6;2;0;2;01/02/2019;166
239;1;3;2;0;2;01/02/2019;416
240;3;16;2;0;3;01/02/2019;224
241;3;13;3;3;4;01/02/2019;432
242;2;11;3;9;1;01/02/2019;80
243;3;17;3;1;1;01/02/2019;131
244;1;5;3;1;5;01/02/2019;196
245;3;17;4;0;1;01/02/2019;449
246;1;6;1;0;1;01/02/2019;158
247;1;6;1;0;4;01/02/2019;72
248;3;17;2;0;3;01/02/2019;163
249;1;3;3;9;2;01/02/2019;502
250;1;5;3;6;1;01/02/2019;19
251;2;8;3;9;2;01/02/2019;574
252;1;7;4;0;1;01/02/2019;87
253;1;6;4;0;4;01/02/2019;236
254;1;1;4;0;1;01/02/2019;548
255;1;3;2;0;1;01/02/2019;135
256;3;12;1;0;2;01/02/2019;299
257;1;6;2;0;1;01/02/2019;329
258;3;17;3;7;3;01/02/2019;481
259;3;15;3;8;2;01/02/2019;283
260;3;17;3;10;4;01/02/2019;283
261;1;3;3;9;2;01/02/2019;128
262;2;9;2;0;2;01/02/2019;251
263;3;17;1;0;3;01/02/2019;205
264;1;5;2;0;3;01/02/2019;565
265;2;8;2;0;3;01/02/2019;280
266;1;1;3;2;3;01/02/2019;254
267;1;4;3;9;4;01/02/2019;85
268;2;10;2;0;3;01/02/2019;187
